Tarih,Kelime,Turkce_Anlam,Ornek_Cumle,Ornek_Cumle_Turkce,Es_Anlamli_1,Es_Anlamli_2,Es_Anlamli_3,Es_Anlamli_4,Zit_Anlamli_1,Zit_Anlamli_2,Zit_Anlamli_3,Zit_Anlamli_4
2024-01-04,optimistic,iyimser; umutlu,She always remains optimistic about the future.,Gelecek hakkında her zaman iyimser kalır.,hopeful,positive,confident,cheerful,pessimistic,negative,hopeless,gloomy
2024-01-04,peaceful,huzurlu; sakin,The garden was a peaceful place to relax.,Bahçe dinlenmek için huzurlu bir yerdi.,calm,tranquil,serene,quiet,chaotic,noisy,turbulent,violent
2024-01-04,remarkable,dikkat çekici; olağanüstü,Her progress in English is remarkable.,İngilizcedeki ilerlemesi dikkat çekici.,outstanding,exceptional,notable,impressive,ordinary,unremarkable,common,typical
2024-01-05,successful,başarılı; muvaffak,The project was very successful.,Proje çok başarılıydı.,triumphant,victorious,prosperous,accomplished,unsuccessful,failed,defeated,losing
2024-01-05,thoughtful,düşünceli; nazik,He gave me a thoughtful gift for my birthday.,Doğum günüm için bana düşünceli bir hediye verdi.,considerate,caring,kind,attentive,thoughtless,inconsiderate,careless,selfish
2024-01-05,valuable,değerli; kıymetli,Time is the most valuable thing we have.,Zaman sahip olduğumuz en değerli şeydir.,precious,important,useful,worthwhile,worthless,useless,cheap,insignificant
2024-01-05,wonderful,harika; muhteşem,We had a wonderful time at the beach.,Sahilde harika vakit geçirdik.,marvelous,fantastic,excellent,delightful,terrible,awful,horrible,unpleasant
2024-01-05,creative,yaratıcı; özgün,She has a very creative approach to problem solving.,Problem çözmeye çok yaratıcı bir yaklaşımı var.,imaginative,innovative,artistic,original,uncreative,boring,conventional,ordinary
2024-01-06,ambitious,hırslı; azimli,He is very ambitious about his career goals.,Kariyer hedefleri konusunda çok hırslı.,determined,driven,motivated,aspiring,lazy,unmotivated,content,satisfied
2024-01-06,curious,meraklı; ilgili,Children are naturally curious about the world.,Çocuklar doğal olarak dünyayı merak ederler.,inquisitive,interested,eager,questioning,indifferent,uninterested,bored,apathetic
2024-01-06,diligent,çalışkan; gayretli,She is a diligent student who never misses class.,Dersi hiç kaçırmayan çalışkan bir öğrencidir.,hardworking,industrious,dedicated,persistent,lazy,careless,negligent,idle
2024-01-06,enthusiastic,coşkulu; hevesli,The team was enthusiastic about the new project.,Takım yeni proje konusunda coşkuluydu.,excited,passionate,eager,zealous,unenthusiastic,apathetic,indifferent,bored
2024-01-06,flexible,esnek; uyumlu,You need to be flexible when working in a team.,Takım halinde çalışırken esnek olmalısın.,adaptable,adjustable,versatile,accommodating,rigid,inflexible,stubborn,fixed
2024-01-07,grateful,minnettar; şükran duygusu,I am grateful for all your help.,Tüm yardımların için minnettarım.,thankful,appreciative,obliged,indebted,ungrateful,unappreciative,thankless,resentful
2024-01-07,humble,alçakgönüllü; mütevazı,Despite his success he remained humble.,Başarısına rağmen mütevazı kaldı.,modest,unassuming,down-to-earth,unpretentious,arrogant,proud,conceited,boastful
2024-01-07,independent,bağımsız; özgür,She became independent after graduating college.,Üniversiteden mezun olduktan sonra bağımsız oldu.,self-reliant,autonomous,free,self-sufficient,dependent,reliant,subordinate,controlled
2024-01-07,loyal,sadık; vefakâr,A dog is known to be loyal to its owner.,Köpeğin sahibine sadık olduğu bilinir.,faithful,devoted,committed,trustworthy,disloyal,unfaithful,treacherous,betraying
2024-01-07,patient,sabırlı; tahammüllü,Teachers need to be patient with their students.,Öğretmenlerin öğrencilerine karşı sabırlı olması gerekir.,tolerant,understanding,calm,persevering,impatient,intolerant,restless,hasty
